-49,-34,33,-26,15,38,26,-76,-20,-2,
52,57,27,-19,-39,43,-46,2,42,68,
49,24,-25,-9,-8,-35,-30,7,18,-22,
-4,16,27,11,18,12,16,30,-7,-16,
19,56,34,-39,-4,-8,-20,-12,24,49,
6,12,2,32,18,13,33,6,-25,-9,
-16,33,28,-58,-15,-11,21,-2,-26,-15,
54,31,37,-27,26,0,32,70,-28,-27,
-1,-33,-27,-98,-13,89,-17,5,-55,-30,
-4,-41,-26,-28,-30,5,31,-4,36,-24,
13,27,-62,-13,64,-50,16,16,-10,0,
33,-11,0,47,2,25,-40,-21,-55,39,
-20,-25,0,30,-27,0,-13,17,-4,-7,
0,18,-23,61,-12,25,12,-34,31,39,
6,-12,9,-34,40,-3,-12,-30,25,12,
12,9,-19,-11,-16,-38,2,-34,4,12,
15,-25,36,20,-59,10,4,38,-4,14,
13,-51,-38,-76,21,46,30,-18,40,63,
23,-27,20,-59,41,-57,28,-134,-87,110,
10,21,-6,9,-6,3,17,-17,16,28,
37,-49,38,69,-9,59,69,-52,-104,-44,
26,-48,3,35,3,-51,-14,7,-32,40,
11,10,30,30,83,13,-33,-39,-1,-88,
-13,-26,32,38,-9,-28,-47,20,45,-65,
22,-50,-37,-14,-36,0,47,8,19,-14,
-39,-46,-23,32,-49,52,-45,64,52,11,
10,3,-35,-1,40,-21,-3,41,15,-13,
-78,-11,51,5,-12,-3,-19,-23,5,-13,
-11,-44,-29,17,40,-41,4,43,-42,24,
17,2,3,-37,-3,-34,-30,1,33,-28,
-7,17,33,-37,5,34,9,-38,8,-21,
15,20,-14,18,-19,15,23,19,-33,11,
-20,-2,95,-67,-10,61,-53,33,53,-5,
-66,-47,-72,-31,-7,0,8,-70,-9,-30,
-65,4,-29,-1,33,22,-30,74,-62,15,
38,36,46,46,103,29,-50,-57,3,-89,
23,4,-68,53,-40,-5,46,0,-13,-42,
36,19,-9,-2,-9,-14,-13,37,12,-6,
-29,20,-65,-30,50,-11,16,63,44,-111,
9,20,5,-31,28,20,-11,75,-17,-34,
30,-23,64,-47,-21,-34,10,33,-37,13,
40,10,46,-21,72,-9,-93,-21,0,-7,
-18,35,4,3,-25,7,6,6,-9,-27,
-30,-21,-28,-71,34,74,-23,13,-65,-39,
-41,40,3,-40,-56,13,42,2,-30,4,
66,27,21,33,-2,26,29,22,2,-17,
46,-9,-5,-12,20,-10,-9,-8,-17,20,
61,22,-75,46,-30,31,-32,-45,-12,6,
69,-60,-16,17,2,-37,58,-19,20,13,
-1,17,44,-39,0,15,70,17,-81,-38,
